0.00 0.333 0.333 0.333
0.01 0.331 0.338 0.332
0.02 0.328 0.343 0.330
0.03 0.325 0.347 0.328
0.04 0.322 0.352 0.326
0.05 0.319 0.357 0.324
0.06 0.316 0.361 0.322
0.07 0.314 0.366 0.321
0.08 0.311 0.371 0.319
0.09 0.308 0.375 0.317
0.10 0.305 0.380 0.315
0.11 0.302 0.385 0.313
0.12 0.299 0.389 0.311
0.13 0.297 0.394 0.310
0.14 0.294 0.399 0.308
0.15 0.291 0.403 0.306
0.16 0.288 0.408 0.304
0.17 0.285 0.413 0.302
0.18 0.282 0.417 0.300
0.19 0.279 0.422 0.299
0.20 0.277 0.427 0.297
0.21 0.274 0.431 0.295
0.22 0.271 0.436 0.293
0.23 0.268 0.441 0.291
0.24 0.265 0.445 0.289
0.25 0.263 0.450 0.288
0.26 0.260 0.455 0.286
0.27 0.257 0.459 0.284
0.28 0.254 0.464 0.282
0.29 0.251 0.469 0.280
0.30 0.248 0.473 0.278
0.31 0.246 0.478 0.276
0.32 0.243 0.483 0.275
0.33 0.240 0.487 0.273
0.34 0.237 0.492 0.271
0.35 0.234 0.497 0.269
0.36 0.231 0.501 0.267
0.37 0.228 0.506 0.265
0.38 0.226 0.511 0.264
0.39 0.223 0.515 0.262
0.40 0.220 0.520 0.260
0.41 0.217 0.525 0.258
0.42 0.214 0.529 0.256
0.43 0.211 0.534 0.254
0.44 0.209 0.539 0.253
0.45 0.206 0.543 0.251
0.46 0.203 0.548 0.249
0.47 0.200 0.553 0.247
0.48 0.197 0.557 0.245
0.49 0.194 0.562 0.243
0.50 0.192 0.567 0.242
0.51 0.189 0.571 0.240
0.52 0.186 0.576 0.238
0.53 0.183 0.581 0.236
0.54 0.180 0.585 0.234
0.55 0.177 0.590 0.232
0.56 0.175 0.595 0.231
0.57 0.172 0.599 0.229
0.58 0.169 0.604 0.227
0.59 0.166 0.609 0.225
0.60 0.163 0.613 0.223
0.61 0.160 0.618 0.221
0.62 0.158 0.623 0.220
0.63 0.155 0.627 0.218
0.64 0.152 0.632 0.216
0.65 0.149 0.637 0.214
0.66 0.146 0.641 0.212
0.67 0.143 0.646 0.210
0.68 0.141 0.651 0.209
0.69 0.138 0.655 0.207
0.70 0.135 0.660 0.205
0.71 0.132 0.665 0.203
0.72 0.129 0.669 0.201
0.73 0.126 0.674 0.199
0.74 0.124 0.679 0.198
0.75 0.121 0.683 0.196
0.76 0.118 0.688 0.194
0.77 0.115 0.693 0.192
0.78 0.112 0.697 0.190
0.79 0.109 0.702 0.188
0.80 0.107 0.707 0.187
0.81 0.104 0.711 0.185
0.82 0.101 0.716 0.183
0.83 0.098 0.721 0.181
0.84 0.095 0.725 0.179
0.85 0.092 0.730 0.177
0.86 0.090 0.735 0.176
0.87 0.087 0.739 0.174
0.88 0.084 0.744 0.172
0.89 0.081 0.749 0.170
0.90 0.078 0.753 0.168
0.91 0.075 0.758 0.166
0.92 0.073 0.763 0.165
0.93 0.070 0.767 0.163
0.94 0.067 0.772 0.161
0.95 0.064 0.777 0.159
0.96 0.061 0.781 0.157
0.97 0.058 0.786 0.155
0.98 0.056 0.791 0.154
0.99 0.053 0.795 0.152
1.00 0.050 0.800 0.150
